ID,d_13C,d_15N,d_2H,organism,location,month
EF1-A22-Al,-47.13,0.72,-127.55,algae,lake,august
EF2-22-AL,-28.26,-1.11,-119.8,algae,lake,may
EF2-A22-AL,-36.79,-2.27,-112.55,algae,lake,august
EF3-A22-AL,-25.98,-1.68,-235.84,algae,lake,august
EF4-22-AL,-30.08,0.12,-133.24,algae,creek,may
EF4-A22-AL,-35.23,1.55,-162.79,algae,creek,august
EF5-A22-AL,-29.87,0.84,-105.84,algae,lake,august
FU-22-AL,-31.77,0.97,-134.4,algae,creek,may
FU-A22-AL,-37.46,1.86,-117.9,algae,creek,august
WD-22-AL,-73.23,0.9,-123.83,algae,creek,may
WU-A22-AL,-32.43,1.83,-133.36,algae,creek,august
EF1-A22-TB,-30.02,0.2,-110.88,caterpillar,lake,august
EF1-A22-LE,-28.84,-0.42,-138.15,leaves,lake,august
EF2-22-LE,-29.75,-2.69,-107.26,leaves,lake,may
EF2-A22-LE,-30.07,-2.23,-137.31,leaves,lake,august
EF3-A22-LE,-29.07,-1.08,-130.83,leaves,lake,august
EF4-22-LE,-28.24,-1.34,-101.6,leaves,creek,may
EF4-A22-LE,-29.4,-0.92,-131.04,leaves,creek,august
EF5-A22-LE,-28.54,-1.32,-138.29,leaves,lake,august
FU-22-LE,-28.64,-0.63,-116.26,leaves,creek,may
FU-A22-LE,-30.23,0.39,-135.75,leaves,creek,august
WD-22-LE,-26.97,0.82,-100.96,leaves,creek,may
WU-A22-LE,-28.85,0.93,-123.46,leaves,creek,august
EF4-22-MF,-34.4,2.1,-152.22,mayfly,creek,may
EF1-A22-MUSS,-30.2,1.13,-130.01,mussel,lake,august
EF3-A22-MUSS,-29.93,1.62,-122.11,mussel,lake,august
EF4-A22-MUSS,-30.32,1.75,-124.06,mussel,creek,august
WD-22-MUSS,-33.43,4.04,-115.09,mussel,creek,may
WD-A22-MUSS-1,-32.78,3.76,-117.38,mussel,creek,august
WD-A22-MUSS-2,-33.84,4.03,-110.01,mussel,creek,august
EF1-22-ODO,-29.66,3.66,-118.52,odonate,lake,may
EF2-22-ODO,-29.89,2.58,-110.35,odonate,lake,may
EF2-A22-ODO,-30.67,2.76,-119.27,odonate,lake,august
EF3-22-ODO,-30.17,2.53,-114.18,odonate,lake,may
EF4-22-ODO,-32.31,4.3,-132.25,odonate,creek,may
EF4-A22-ODO,-32.72,4.02,-113.35,odonate,creek,august
