Lake,Species,Code,Group,Class,Depth,d13C,d15N,%C,%N,C/N
Kivi,alpine bullhead,11KIAB1,Con,Fish,NA,-24.5,6,46.5,11.8,3.9
Kivi,grayling,11KIG1,Con,Fish,NA,-22.8,8.2,47.3,14.8,3.2
Kivi,Ceratopogonidae,11KI1mCeratopogonidae,BMI,Litt,1,-27.1,4.8,46.8,8.7,5.4
Kivi,Ceratopogonidae,11KI2mCeratopogonidae,BMI,Litt,2,-25.5,3,47,8.4,5.6
Kivi,Ceratopogonidae,11KI3mCeratopogonidae,BMI,Litt,3,-26.3,3.5,47.6,8.9,5.4
Kivi,Chironomidae,11KI1mChironomidae,BMI,Litt,1,-24.3,2.3,45.1,10,4.5
Kivi,Chironomidae,11KI2mChironomidae,BMI,Litt,2,-23.5,1.5,46.3,9.6,4.8
Kivi,Chironomidae,11KI3mChironomidae,BMI,Litt,3,-25.6,1.8,45.9,8.7,5.3
Kivi,Chironomidae,11KI5mChironomidae,BMI,Litt,5,-29.7,4.9,47.1,10.4,4.5
Kivi,Chironomidae,chironomid0m-Kivi,BMI,Litt,0,-27.4,2.7,43.9,9.7,4.5
Kivi,Chironomidae,chironomid10m-Kivi,BMI,Prof,10,-35.3,3.6,41.2,9.3,4.4
Kivi,Corixidae,11KIrantaCorixidae,BMI,Litt,0,-31.9,3.3,54.6,9.7,5.6
Kivi,Corixidae,corixidae0m-Kivi,BMI,Litt,0,-33.4,2.7,54.7,9.8,5.6
Kivi,Dytiscidae,11KIrantaDytiscidae,BMI,Litt,0,-26.6,4.1,48.1,9.4,5.1
Kivi,Dytiscidae,11KIrantaDytiscidaelarva,BMI,Litt,0,-24.1,3.4,49.5,8.7,5.7
Kivi,Dytiscidae,dytiscidae0m-Kivi,BMI,Litt,0,-27.1,3.7,50.7,10.1,5
Kivi,Dytiscidae,dytiscidaeny0m-Kivi,BMI,Litt,0,-27.9,3.6,46.8,11.3,4.2
Kivi,Ephemeroptera,ephemeroptera0m-Kivi,BMI,Litt,0,-25.8,1.4,53.5,9.4,5.7
Kivi,Eurycercus,11KI1m+2mEurycercus,BMI,Litt,2,-24.8,1.8,44.3,9.9,4.5
Kivi,Eurycercus,11KI3mEurycercus,BMI,Litt,3,-26.3,2.4,46.6,10.7,4.4
Kivi,Eurycercus,11KI5mEurycercus,BMI,Litt,5,-34.8,3.9,46.9,10.8,4.3
Kivi,Eurycercus,11KIrantaEurycercus,BMI,Litt,0,-25.6,1.6,47.2,10.7,4.4
Kivi,Eurycercus,Eurycercus0m-Kivi,BMI,Litt,0,-26.4,0.6,46.2,10.6,4.4
Kivi,Gammarus,11KI1mGammarus,BMI,Litt,1,-23.8,2.7,39,8.3,4.7
Kivi,grayling,11KIG2,Con,Fish,NA,-22.8,8.3,46.8,14.8,3.2
Kivi,grayling,11KIG3,Con,Fish,NA,-21.9,8.3,47.8,14.9,3.2
Kivi,lsr,11KIL1,Con,Fish,NA,-25.8,7.7,47.8,15,3.2
Kivi,Hydracarina,11KI10mHydracarina,BMI,Prof,10,-34,7.5,50,10.1,5
Kivi,Hydracarina,11KI1m+2mHydracarina,BMI,Litt,2,-23.2,4.9,47.7,9.3,5.2
Kivi,Hydracarina,11KI3mHydracarina,BMI,Litt,3,-26.1,6,46.9,8.2,5.7
Kivi,Hydracarina,11KI5mHydracarina,BMI,Litt,5,-30.1,7,48.4,9.6,5
Kivi,lsr,11KIL10,Con,Fish,NA,-27.9,8.3,48.2,15,3.2
Kivi,lsr,11KIL11,Con,Fish,NA,-27.8,8.2,47.9,14.9,3.2
Kivi,lsr,11KIL12,Con,Fish,NA,-24.6,7.2,47.7,15,3.2
Kivi,lsr,11KIL13,Con,Fish,NA,-26.1,7.3,57.7,18.2,3.2
Kivi,lsr,11KIL14,Con,Fish,NA,-23.7,7.6,48,15.2,3.2
Kivi,lsr,11KIL15,Con,Fish,NA,-26.4,7.8,48.4,15.3,3.2
Kivi,lsr,11KIL16,Con,Fish,NA,-26.4,7.6,47.9,14.9,3.2
