"organism","location","month","mean_d_13C","sd_d_13C","mean_d_15N","sd_d_15N"
"algae","creek","august",-35.04,2.52037695593338,1.74666666666667,0.170977581376429
"algae","creek","may",-45.0266666666667,24.4394155685715,0.663333333333333,0.471840368486349
"algae","lake","august",-34.9425,9.27370970360118,-0.5975,1.60947972960208
"algae","lake","may",-28.26,NA,-1.11,NA
"caterpillar","lake","august",-30.02,NA,0.2,NA
"leaves","creek","august",-29.4933333333333,0.694718168276412,0.133333333333333,0.951332398971744
"leaves","creek","may",-27.95,0.871951833532106,-0.383333333333333,1.10092385446648
"leaves","lake","august",-29.13,0.663174185263571,-1.2625,0.748882500797021
"leaves","lake","may",-29.75,NA,-2.69,NA
"mayfly","creek","august",-28.33,1.27573508221731,0.253333333333333,0.500832640043891
"mayfly","creek","may",-32.7466666666667,1.43865678093607,1.33,0.676683086828687
"mayfly","lake","august",-23.4,1.51248140484437,0.0842857142857143,0.770624360348091
"mayfly","lake","may",-25.86,2.02686950739311,0.86375,1.19472576052295
"mussel","creek","august",-32.3133333333333,1.80580545279201,3.18,1.24575278446408
"mussel","creek","may",-31.485,1.31277060702419,2.6075,1.02513007304764
"mussel","lake","august",-30.065,0.190918830920368,1.375,0.346482322781408
"mussel","lake","may",-28.5583333333333,0.333761845777749,0.816666666666667,0.554556880160488
"odonate","creek","august",-31.445,1.95500127877196,1.82,1.1238327277669
"odonate","creek","may",-32.4666666666667,2.70840051198735,2.96333333333333,1.16663333285713
"odonate","lake","august",-22.36,4.11056405400831,1.346,0.98925490302444
"odonate","lake","may",-26.4233333333333,4.53877810282312,2.56166666666667,0.614016829302477
